Title,Birthyear,Occupational_group
Amy_Webb,1977,other
Amy_Welborn,1960,author/journalist
Amyas_Borton,1886,military
Amé_Pictet,1857,academic
Amédée_Borrel,1867,academic
Amédée_E._Forget,,office_holder
Amédée_Geoffrion,1867,politician
An_Byeong-hun,1991,athlete
An_Byong-jun,,athlete
An_Dong-hyeok,1988,athlete
An_Ik-soo,1965,athlete
An_Jae-jun,1986,athlete
An_Le,1954,office_holder
An_Sun-jin,,athlete
An_Sung-bin,1988,athlete
An_Sung-min,1985,athlete
An_Yong-hak,,athlete
An_Yong-woo,1991,athlete
Ana_Alicia,1956,artist
Ana_Alicia,1956,actor
Ana_Aslan,,academic
Ana_Botella,,office_holder
Ana_Cukic,,other
Ana_Galvis_Hotz,1855,other
Ana_Guțu,1962,politician
Ana_Irene_Delgado,1982,office_holder
Ana_Jara,1968,office_holder
Ana_Kasparian,1986,other
Ana_Lovrin,,office_holder
Ana_Lya_Uriarte,1962,judiciary
Ana_Lía_Piñeyrúa,1954,office_holder
Ana_Majhenić,1981,actor
Ana_Mari_Cauce,,office_holder
Ana_Maria_Machado,,author/journalist
Ana_Marie_Cox,1972,other
Ana_Mato,,office_holder
Ana_Milena_Muñoz_Gómez,1956,office_holder
Ana_Paola_Agudelo_García,1983,academic
Ana_Paola_Agudelo_García,1983,office_holder
Ana_Paola_Agudelo_García,1983,politician
Ana_Pastor_García,1977,author/journalist
Ana_Pastor_García,1977,actor
Ana_Pastor_Julián,1957,office_holder
Ana_Patricia_Botín,1960,office_holder
Ana_Paula_dos_Santos,1963,office_holder
Ana_Pešikan,,office_holder
Ana_Rosa_Núñez,,author/journalist
Ana_Tereza_Basilio,1967,office_holder
Anabel_Ford,1951,academic
Anabel_Jensen,,author/journalist
Anadi_Sankar_Gupta,1932,academic
Analisa_Torres,1959,office_holder
Analjit_Singh,1959,medical_field
Anand_Ahirwar,1964,politician
Anand_Chandrasekaran,,military
Anand_Giridharadas,1981,author/journalist
Anand_Kumar_(sociologist),,politician
Anand_Lal_Shimpi,,author/journalist
Anand_Lal_Shimpi,,office_holder
Anand_Lal_Shimpi,,military
Anand_Mahindra,1955,other
Anand_Mohan,1957,academic
Anand_Neelakantan,1973,author/journalist
Anand_Panyarachun,,politician
Anand_Patwardhan,1950,actor
Anand_Patwardhan,1950,royalty
Anand_Prakash,0027,academic
Anand_Ramlogan,1972,office_holder
Anand_Ramlogan,1972,judiciary
Anand_Reddi,,academic
Anand_Satyanand,,politician
Anand_Sharma,1953,office_holder
Anand_Sharma,1953,judiciary
Ananda_Mohan_Chakrabarty,1938,academic
Ananga_Kumar_Patnaik,1949,judiciary
Anant_Gupta,1965,office_holder
Anant_Gupta,1965,military
Ananta_Charan_Sukla,1942,other
Ananta_Mandal,,artist
Ananth_Kumar,,office_holder
Ananthi_Sasitharan,,office_holder
Anantram_Jaiswal,1928,office_holder
Anar_Mammadkhanov,,office_holder
Anar_Rzayev,1938,author/journalist
Anas_Aremeyaw_Anas,,other
Anas_Khalid_Al_Saleh,,office_holder
Anas_Sarwar,1983,politician
Anastasia_Klose,1978,artist
Anastasia_Lin,1990,actor
Anastasia_Pittman,1970,office_holder
Anastasios_%22Takis%22_Kyriakides,1946,office_holder
Anastasios_%22Takis%22_Kyriakides,1946,business_person
Anastasios_%22Takis%22_Kyriakides,1946,military
Anastasios_Nerantzis,1944,office_holder
Anastasios_Venetsanopoulos,1941,academic
Anastasios_of_Albania,,religious_figure
Anat_Cohen-Dayag,,academic
Anat_Hoffman,1954,other
Anat_Maimoni,1982,athlete
Anatol_Ciobanu,1934,academic
Anatol_Petrencu,,politician
Anatol_Stati,1952,business_person
Anatol_Țăranu,1951,politician
Anatole_Abragam,,academic
Anatole_Beck,1930,academic
Anatole_Katok,1944,academic
Anatoli_Georgievich_Vitushkin,1931,academic
Anatoli_Kamugisha,1963,business_person
Anatolii_Ivanovich_Sivkov,1952,artist
Anatolii_Matios,,office_holder
Anatoliy_Maksyuta,,office_holder
Anatoliy_Serdyukov,1962,office_holder
Anatoliy_Skorokhod,,academic
Anatoly_Alexandrov_(physicist),,academic
Anatoly_Alexandrovich_Alexandrov,,academic
Anatoly_Andriyashev,1910,academic
Anatoly_Karatsuba,1937,academic
Anatoly_Khazanov,,academic
Anatoly_Koryagin,,academic
Anatoly_Larkin,1932,academic
Anatoly_Logunov,1926,academic
Anatoly_Lunacharsky,,politician
Anatoly_Samoilenko,,academic
Anatoly_Shalyto,,academic
Anatoly_Shvidenko,1937,academic
Anatoly_Sobchak,,office_holder
Anatoly_Sukhorukov,,academic
Anatoly_Vlasov,,academic
Anavaj_Sakuntabhai,,academic
Anbara_Salam_Khalidi,1897,author/journalist
Ancel_Keys,,academic
Ancel_Keys,,medical_field
Ancer_L._Haggerty,1944,judiciary
Anchen_Dreyer,1952,politician
Ancil_D._Brown,1873,athlete
Ancil_Farrier,1986,athlete
Andaleeve_Rahman,,office_holder
Andargachew_Tsige,1955,politician
Ander_Crenshaw,,politician
Ander_Monro,1981,athlete
Anders_Anundsen,1975,office_holder
Anders_Blewett,1980,office_holder
Anders_Blok,1978,other
Anders_Borg,,academic
Anders_Borg,,politician
Anders_Celsius,,academic
Anders_Fogh_Rasmussen,,office_holder
Anders_Fredrik_Regnell,1807,academic
Anders_Haglund,1964,athlete
Anders_Hansen,,athlete
Anders_Hejlsberg,,other
Anders_Jahan_Retzius,,academic
Anders_Jonas_Ångström,1814,academic
Anders_Krogh,,academic
Anders_Rapp,1927,academic
Anders_Sandberg,1972,other
Anders_Sandvig,1862,other
Anders_Sandøe_Ørsted_(botanist),,academic
Anders_Söderholm,1961,office_holder
Anders_Wejryd,,religious_figure
Anders_Wiman,1865,academic
Anders_Winroth,1965,academic
Anders_Åslund,1952,academic
Anderson_E._Shumate,,office_holder
Anderson_Ruffin_Abbott,1837,medical_field
Andile_Jali,1990,athlete
Andile_Jho,1992,athlete
Andra_Franklin,1959,athlete
Andranik_Margaryan,,academic
Andranik_Margaryan,,politician
Andre_Dubus_III,,academic
Andre_Dubus_III,,author/journalist
Andre_Gunder_Frank,,academic
Andre_Jacque,1980,office_holder
Andre_Lee,1963,office_holder
Andre_Lee,1963,business_person
Andre_Lee,1963,military
Andre_M._Davis,1949,office_holder
Andre_McGee,,athlete
Andre_Schmid_(soccer),1983,athlete
"Andre_Smith_(basketball,_born_1985)",1985,athlete
Andre_Snyman,1974,athlete
Andre_Spencer,1964,athlete
Andre_Thapedi,,office_holder
Andre_Torrey,1982,athlete
Andre_Toussaint,1981,athlete
Andre_Townsend,1962,athlete
Andre_Wadsworth,1974,athlete
Andre_Wakefield,1955,athlete
Andre_Weathers,,athlete
Andre_Young_(American_football),1960,athlete
Andrea_Ashworth,1969,author/journalist
Andrea_Bertozzi,1965,academic
Andrea_Brand,1959,academic
Andrea_Büttner,,artist
Andrea_Cabral,,office_holder
Andrea_Canning,1972,other
Andrea_Clausen_(politician),1971,office_holder
Andrea_Cordero_Lanza_di_Montezemolo,,other
Andrea_Dalessandro,,office_holder
Andrea_Daly,1965,artist
Andrea_Doll,1940,office_holder
Andrea_Doucet,,other
Andrea_Elliott,1972,author/journalist
"Andrea_F._Nuciforo,_Jr.",1964,office_holder
Andrea_Fabra_Fernández,1973,office_holder
Andrea_Fabra_Fernández,1973,judiciary
Andrea_Fay_Friedman,1970,actor
Andrea_Hairston,1957,author/journalist
Andrea_Horwath,,office_holder
Andrea_Jenkyns,1974,politician
Andrea_Koppel,1963,author/journalist
Andrea_Lea,1957,office_holder
Andrea_Leadsom,1963,politician
Andrea_Lo,1986,other
Andrea_Mitchell_(politician),1956,politician
Andrea_Musacchio,1964,academic
Andrea_Naccari,1841,academic
Andrea_Nahles,,office_holder
Andrea_Nightingale,,academic
Andrea_Nolan,,office_holder
Andrea_Pavan,1989,athlete
Andrea_Pininfarina,1957,academic
Andrea_Polli,,artist
Andrea_Prader,1919,other
Andrea_Prat,1967,academic
Andrea_Prat,1967,politician
Andrea_Prosperetti,,academic
Andrea_R._Nahmod,,academic
Andrea_R._Wood,1973,office_holder
Andrea_Rossi_(entrepreneur),1950,academic
Andrea_Saul,1982,author/journalist
Andrea_Spyropoulos,,office_holder
Andrea_Stewart-Cousins,,office_holder
Andrea_Syrtash,,author/journalist
Andrea_Tantaros,1978,academic
Andrea_Tantaros,1978,politician
Andrea_Veneracion,1928,artist
Andrea_Ypsilanti,1957,office_holder
Andrea_Zitolo,,academic
Andrea_Zlatar-Violić,1961,office_holder
Andrea_Češková,1971,office_holder
Andreas_Acrivos,,academic
Andreas_Andersen_Feldborg,1782,author/journalist
Andreas_Brandstädt,1949,academic
Andreas_Carlgren,1958,politician
Andreas_Demetriou,1950,academic
Andreas_Fleischer,1878,other
Andreas_Floer,,academic
Andreas_Franz_Wilhelm_Schimper,1856,academic
Andreas_Freytag,1962,academic
Andreas_Freytag,1962,politician
Andreas_Hillgruber,1925,academic
Andreas_Khol,1941,office_holder
Andreas_Loewe,1973,religious_figure
Andreas_Loverdos,1956,office_holder
Andreas_Mand,1959,author/journalist
Andreas_Mandelis,1952,academic
Andreas_Matouschek,,academic
Andreas_Mershin,,academic
Andreas_Papandreou,,politician
Andreas_Paulus,1968,academic
Andreas_Paulus,1968,judiciary
Andreas_Schwab,,office_holder
Andreas_Vesalius,,academic
Andreas_Vgenopoulos_(businessman),1953,judiciary
Andreas_Vgenopoulos_(businessman),1953,business_person
Andreas_Voßkuhle,1963,office_holder
Andreas_von_Ettingshausen,1796,academic
Andree_Layton_Roaf,1941,judiciary
Andrei_Alexandrescu,1969,other
Andrei_Amalrik,,author/journalist
Andrei_Bolibrukh,1950,academic
Andrei_Bubnov,,politician
Andrei_Cherny,1975,politician
Andrei_Eșanu,,politician
Andrei_Knyazev_(mathematician),1959,academic
Andrei_Kobyakov,,office_holder
Andrei_Linde,,academic
Andrei_Marga,1946,office_holder
Andrei_Monin,1921,academic
Andrei_Okounkov,1969,academic
Andrei_Polyanin,1951,academic
Andrei_Popov_(politician),1971,politician
