Title,Birthyear,Occupational_group
Alice_Miller_(golfer),,athlete
Alice_Ritzman,1952,athlete
Alice_Tym,1942,athlete
Alisa_Burras,,athlete
Alisi_Tupuailei,,athlete
Alison_Gordon,1943,athlete
Alison_Lee,1995,athlete
Alister_Munro_Campbell,1979,athlete
Aljon_Mariano,1992,athlete
Allama_Matthews,1961,athlete
Allan_Alaalatoa,1994,athlete
Allan_Boath,1958,athlete
Allan_Brown_(soccer),1984,athlete
Allan_Caidic,,athlete
Allan_Dell,1992,athlete
Allan_Evridge,1985,athlete
Allan_Stewart_(rugby_player),1940,athlete
Allan_Williford,1892,athlete
Allein_Maliksi,1987,athlete
Allen_(Cambridge_University_cricketer),,athlete
Allen_Boren,1934,athlete
Allen_Brown,1943,athlete
Allen_Carter,,athlete
Allen_Doyle,,athlete
Allen_Edwards_(basketball),1975,athlete
Allen_Elward,1892,athlete
Allen_Greene,1977,athlete
Allen_Gum,1969,athlete
Allen_Harvin,1959,athlete
Allen_Jeardeau,1866,athlete
Allen_McCants,1875,athlete
Allen_Moore_(American_football),1909,athlete
Allen_Morris_(tennis),1932,athlete
Allen_Pinkett,1964,athlete
Allen_Pitts,,athlete
Allen_Rudolph,,athlete
Allen_Snyder_(coach),,athlete
Allen_Steckle,,athlete
Allen_Webb,1983,athlete
Allen_Wilson_(American_football),1951,athlete
Alli_Austria,1990,athlete
Allie_Miller,1886,athlete
Allison_Curtin,1980,athlete
Allison_Finney,1958,athlete
Allison_Hubert,,athlete
Allister_Hogg,,athlete
Allyn_McKeen,1905,athlete
Allyssa_DeHaan,1988,athlete
Almir_Barbosa,1980,athlete
Almond_Vosotros,1990,athlete
Alon_Lubezky,1980,athlete
Alonzo_Bradley,,athlete
Alonzo_Edwin_Branch,1874,athlete
Alonzo_G._Brown,,athlete
Alonzo_Mayes,1975,athlete
Alper_Solak,0016,athlete
Alpha_Brummage,1880,athlete
Alpha_Jamison,1875,athlete
Altamont_McKenzie,1951,athlete
Altino_Domingues,1951,athlete
Alton_Jackson,,athlete
Alton_Johnson,1877,athlete
Alton_Lister,,athlete
Alun_Lewis_(rugby_union),1956,athlete
Alun_Pask,1937,athlete
Alun_Thomas,1926,athlete
Alun_Wyn_Jones,1985,athlete
Alured_Ransom,1908,athlete
Alva_Duer,,athlete
Alva_Kelley,1918,athlete
Alvin_Bell,,athlete
Alvin_Brooks,,athlete
Alvin_Brooks_III,,athlete
Alvin_Kletsch,,athlete
Alvin_Loucks,1895,athlete
Alvin_Pierson,,athlete
Alvin_Robertson,,athlete
Alvin_Teng,1965,athlete
Alvin_Toles,1963,athlete
Alvin_Twitchell,,athlete
Alvin_Wistert,1916,athlete
Alvin_Wyatt,1947,athlete
Alvin_Young,1975,athlete
Alvord_Wolff,,athlete
Alwin_Komolong,1995,athlete
Alwyn_Hollenbach,1985,athlete
Amaechi_Igwe,1988,athlete
Amanaki_Lotoahea,,athlete
Amanda_Blumenherst,1986,athlete
Amanda_Butler,,athlete
Amanda_Cromwell,1970,athlete
Amanda_Dlamini,1988,athlete
Amanda_Levens,,athlete
Amanda_O'Leary,,athlete
Amanda_Poach,1987,athlete
Amara_Soumah,1990,athlete
Amarlo_Herrera,,athlete
Amaury_Nunes,,athlete
Amber_Holt,,athlete
Amber_Jacobs,,athlete
Ambrose_Curtis,1992,athlete
Antonio_Superbia,0014,athlete
Antonious_Bonner,1972,athlete
Antti_Ahokas,1985,athlete
Antwain_Barbour,1982,athlete
Antwain_Smith,1975,athlete
Antwi_Atuahene,,athlete
Anu_Solomon,1996,athlete
Anusith_Termmee,,athlete
Anwar_Ferguson,,athlete
Appleton_A._Mason,1880,athlete
April_Heinrichs,,athlete
April_Ieremia,1967,athlete
Ara_Parseghian,,athlete
Arava_Shahaf,1990,athlete
Arch_Crippin,,athlete
Arch_Reilly,1891,athlete
Archie_Amerson,1974,athlete
Archie_Cooley,1940,athlete
Archie_Eves,1876,athlete
Archie_Hahn,,athlete
Archie_Hoxton,1875,athlete
Archie_Kodros,1918,athlete
Archie_Milano,1918,athlete
Archie_Miller_(basketball),1978,athlete
Archie_W._Butcher,1901,athlete
Archie_Webb,,athlete
Arda_Bowser,1899,athlete
Ardie_Savea,1993,athlete
Ardo_Perri,1950,athlete
Ardy_Larong,1980,athlete
Aree_Song,,athlete
Arianna_Criscione,1985,athlete
Arie_Maliniak,1949,athlete
Aries_Dimaunahan,1978,athlete
Arisa_Inoue,,athlete
Aristeidis_Moumoglou,1942,athlete
Aristide_Guerriero,1986,athlete
Aritatsu_Ogi,1942,athlete
Ark_Newton,,athlete
Arland_Bruce_III,,athlete
Arleigh_Williams,1912,athlete
Arlie_C._Jones,1870,athlete
Armando_Favela,1986,athlete
Armandt_Koster,1990,athlete
Armant_Legendre,,athlete
Armelie_Lumanu,,athlete
Armen_Gilliam,,athlete
Armin_Kraeft,1909,athlete
Arn_Tellem,1954,athlete
Arnas_Butkevičius,1992,athlete
Arnaud_Gascon-Nadon,1988,athlete
Arnie_Arenz,1911,athlete
Arnie_Ball,1944,athlete
Arnie_Johnson,1920,athlete
Arnie_Oliver,1907,athlete
Arnie_Tuadles,1956,athlete
Arno_Botha,1991,athlete
Arnold_Jackson_(American_football),1977,athlete
Arnold_Jeter,,athlete
Arnold_L._Kirkpatrick,1886,athlete
Arnold_Morgado,1952,athlete
Arnold_Palmer,,athlete
Arnold_Tancred,1904,athlete
Arnond_Vongvanij,,athlete
Aron_Price,1982,athlete
Aron_Stewart,1950,athlete
Arran_Pene,,athlete
Arron_Oberholser,,athlete
Arron_Patrick,1987,athlete
Art_Badenoch,1884,athlete
Art_Baker_(coach),1929,athlete
Art_Baker_(gridiron_football),,athlete
Art_Briles,1955,athlete
